COUNTY,PovertyPercentage,Cropland,CroplandPercentage,SpecialtyCrop,SpecialtyCropPercentage
Grimes,15.1,0.61,61.45,0.00,0.011054151
Hale,18,0.93,92.83,0.00,0.01964369
Hall,28.1,0.42,41.86,0.00,0.003689785
Hardin,12.2,0.10,9.66,0.00,0.001819628
Harris,16.7,0.19,18.79,0.00,0.004261828
Harrison,16.9,0.15,15.11,0.00,0
Hemphill,14.2,0.76,75.95,0.00,0.003161937
Henderson,17.4,0.46,46.50,0.00,0.003407748
Hopkins,15.9,0.67,66.55,0.00,0.008985669
Houston,27.7,0.43,42.94,0.00,0.034058613
Hutchinson,15.4,0.61,61.08,0.00,0.000504764
Jasper,18.6,0.10,9.70,0.00,0.000394186
Jeff Davis,13.4,0.08,8.15,0.00,3.06886E-05
Kenedy,52.4,0.43,43.39,0.00,0.012893902
Kent,8.8,0.16,15.85,0.00,0.022898833
King,0,0.07,7.29,0.00,3.80462E-05
Kleberg,26.1,0.41,40.82,0.00,0.120898043
Lamar,16.6,0.65,64.94,0.00,0.000446886
Lee,10.4,0.55,54.99,0.00,0.003890858
Leon,19.3,0.49,49.25,0.00,0.002926264
Lipscomb,15.5,0.90,89.82,0.00,0.001304547
Loving,0,0.00,0.48,0.00,0.003029681
McMullen,3.5,0.25,25.20,0.00,9.01183E-05
Madison,21,0.69,68.98,0.00,0.136589131
Matagorda,21.9,0.43,42.63,0.00,0.004568549
Menard,20.4,0.02,2.47,0.00,0.129365929
Mills,15.8,0.25,24.67,0.00,0.220239039
Montgomery,11,0.19,18.93,0.00,0.000709906
Moore,12.7,0.85,85.04,0.00,0.001986496
Morris,19.8,0.36,36.03,0.00,0.000268644
Nacogdoches,22.6,0.21,21.42,0.00,0
Navarro,20,0.71,71.14,0.00,0.022655502
Nueces,19.7,0.51,51.39,0.00,0.040336087
Hill,16.3,0.76,76.20,0.00,0.002079904
Hockley,16.5,0.81,80.87,0.00,0.027881539
Hood,12.1,0.60,59.78,0.00,0.005886613
Howard,20.7,0.42,42.09,0.00,0.130510514
Hudspeth,38.5,0.03,3.01,0.00,0.13633412
Hunt,18.1,0.68,68.17,0.00,0.001142517
Irion,3.6,0.00,0.47,0.00,3.30432E-05
Jack,17.3,0.65,65.29,0.00,0.000868611
Parker,9.9,0.71,71.24,0.00,0.021343719
Pecos,17,0.02,1.52,0.00,0.068603927
Polk,22.6,0.12,11.91,0.00,0
Rains,14.9,0.54,53.79,0.00,0.07719727
Reagan,8.3,0.05,5.19,0.00,0.002570746
Red River,17.2,0.48,48.41,0.00,0.000756321
Refugio,14.5,0.54,53.85,0.00,0.006752422
San Augustine,26.5,0.10,10.25,0.00,0
San Jacinto,20.6,0.16,15.96,0.00,0
San Patricio,14.8,0.69,69.26,0.00,0.046777639
San Saba,24.6,0.20,19.51,0.00,0.423584816
Shelby,25.2,0.22,21.57,0.00,0
Smith,15.5,0.30,30.29,0.00,0.020562919
Somervell,15.9,0.47,46.89,0.00,0.001448226
Sutton,12.7,0.00,0.11,0.00,0.001457421
Terrell,14.2,0.00,0.01,0.00,0.000633661
Throckmorton,15.3,0.79,79.06,0.00,0.001290548
Travis,15.2,0.27,26.86,0.00,0.012771837
Trinity,20.2,0.19,19.06,0.00,0.000681387
Tyler,19.8,0.10,9.72,0.00,0
Van Zandt,14.7,0.62,62.20,0.00,0.059908952
Victoria,15.2,0.67,66.93,0.00,0.014191555
Waller,19.8,0.69,68.71,0.00,0.018521508
Ward,14.3,0.05,5.00,0.00,0.013594636
Wharton,16.7,0.82,81.89,0.00,0.066363148
Williamson,6.2,0.58,58.41,0.00,0.019083214
Winkler,20.4,0.14,13.92,0.00,0.013961362
Wood,14.4,0.35,34.92,0.00,0.015133999
Zavala,38.3,0.15,15.37,0.00,0.157150721
Carson,9,0.85,85.03,0.00,0.000564046
Castro,21.8,0.94,94.24,0.00,0.018238352
Childress,28.3,0.28,28.21,0.00,0.011879804
Clay,8.7,0.82,81.75,0.00,0.016584965
Coke,18.9,0.12,11.80,0.00,0.000561684
Gregg,16,0.14,14.31,0.00,0.005670493
Hamilton,13.1,0.50,49.82,0.00,0.073828164
Hansford,15.6,0.93,93.09,0.00,0.000264279
Hardeman,12.8,0.33,33.32,0.00,0.021641252
Hartley,5.9,0.92,91.54,0.00,0.412278416
Haskell,20,0.72,72.30,0.00,0.070432679
Hays,17.8,0.22,22.38,0.00,0.003424205
Hidalgo,36,0.65,65.25,0.01,1.493424105
Anderson,16.8,0.35,34.93,0.00,0.00599568
Andrews,18.4,0.38,38.45,0.00,0.000115747
Angelina,17.9,0.16,15.85,0.00,0
Aransas,17.1,0.09,9.31,0.00,0.000131628
Armstrong,11.3,0.64,64.27,0.00,0.00038026
Austin,8.3,0.68,67.86,0.00,0.010852775
Baylor,13.3,0.73,73.17,0.00,0.003432244
Bee,20.2,0.48,48.07,0.00,0.008920834
Bexar,17.1,0.23,22.88,0.00,0.024123587
Bosque,17.7,0.60,59.75,0.00,0.002010341
Bowie,17.7,0.34,33.68,0.00,0.016603403
Brazoria,10.6,0.38,38.01,0.00,0.031344942
Brazos,30.6,0.51,51.32,0.00,0.020276901
Burleson,17.4,0.54,53.61,0.00,0.017045695
Caldwell,19.4,0.44,44.30,0.00,0.023879048
Calhoun,13.9,0.27,27.41,0.00,0.000201898
Camp,22.7,0.38,38.28,0.00,0
Cass,18.1,0.15,14.89,0.00,0.00021711
Chambers,11,0.36,35.66,0.00,0.001834819
Cherokee,21,0.27,26.64,0.00,0.008800235
Cochran,29.1,0.52,52.24,0.00,0.116093816
Coleman,31.1,0.24,24.17,0.00,0.011091035
Comal,9,0.15,14.90,0.00,0.006890867
Cottle,12.6,0.19,18.72,0.00,0
Crane,23.3,0.16,15.53,0.00,0
Crockett,15.9,0.00,0.04,0.00,8.66456E-05
Dallas,17.2,0.20,20.05,0.00,0.004551058
Delta,14.9,0.70,70.15,0.00,0.000375083
Dickens,29.2,0.32,31.62,0.00,0.01078689
Dimmit,37.2,0.21,20.62,0.00,0.050176903
Ector,16.9,0.02,1.92,0.00,0.005009427
Floyd,22.7,0.86,86.48,0.00,0.021286685
Foard,27.8,0.26,25.78,0.00,0.001325773
Fort Bend,8.1,0.64,64.29,0.00,0.016602546
Freestone,15.4,0.50,50.25,0.00,0.005492915
Galveston,13,0.11,11.38,0.00,0.001988375
Glasscock,11.6,0.18,17.87,0.00,0.179321398
Goliad,12.9,0.52,51.89,0.00,0.007965832
Lynn,16.3,0.89,88.81,0.00,0.046320491
McCulloch,23.3,0.18,18.15,0.00,0.008578606
McLennan,20.7,0.72,72.20,0.00,0.019566744
Marion,19.4,0.09,9.32,0.00,0
Martin,7.9,0.44,43.51,0.00,0.060414249
Mason,15.2,0.11,10.89,0.00,0.012226522
