COUNTY,PovertyPercentage,CroplandPercentage,cropct2017,SpecialtyCropPercentage,pctsc2017
Grimes,20.3,55.69701098,0.55697011,0.00598225,0.00005982
Hale,20.7,93.24136781,0.93241368,0.00985643,0.00009856
Hall,28.7,33.15652178,0.33156522,0.00507345,0.00005073
Hardin,11.8,6.646289744,0.06646290,0.00000000,0.00000000
Harris,17.4,16.40361872,0.16403619,0.00211136,0.00002111
Harrison,17.7,12.62767453,0.12627675,0.00736153,0.00007362
Hemphill,11.8,70.16414462,0.70164145,0.00038096,0.00000381
Henderson,18.8,39.82254501,0.39822545,0.00164891,0.00001649
Hopkins,19.5,60.92064637,0.60920646,0.00043833,0.00000438
Houston,24.4,38.4843501,0.38484350,0.01849057,0.00018491
Hutchinson,16.5,53.53214609,0.53532146,0.00011648,0.00000116
Jasper,16.3,8.250382801,0.08250383,0.00000000,0.00000000
Jeff Davis,8,3.041727559,0.03041728,0.00087462,0.00000875
Kenedy,22.8,34.87252297,0.34872523,0.00621479,0.00006215
Kent,11.7,14.27390108,0.14273901,0.00003849,0.00000038
King,3.3,7.545284809,0.07545285,0.00110334,0.00001103
Kleberg,23.8,32.2698009,0.32269801,0.02301302,0.00023013
Lamar,19.9,61.35345794,0.61353458,0.00096825,0.00000968
Lee,14.8,42.70939541,0.42709395,0.01435781,0.00014358
Leon,16,40.87785304,0.40877853,0.00373018,0.00003730
Lipscomb,10.4,85.53839173,0.85538392,0.00264637,0.00002646
Loving,16.4,0.014532199,0.00014532,0.00000000,0.00000000
McMullen,8.8,14.55210077,0.14552101,0.00042055,0.00000421
Madison,16.5,63.90451597,0.63904516,0.03714459,0.00037145
Matagorda,21.7,40.37373569,0.40373736,0.00821046,0.00008210
Menard,13.4,1.214553121,0.01214553,0.03643351,0.00036434
Mills,14.5,12.84004718,0.12840047,0.35533937,0.00355339
Montgomery,11,12.76500628,0.12765006,0.00171023,0.00001710
Moore,17.8,83.1538105,0.83153811,0.01520434,0.00015204
Morris,18.6,29.28584432,0.29285844,0.00362670,0.00003627
Nacogdoches,24.4,17.98936733,0.17989367,0.00053123,0.00000531
Navarro,19.9,70.41045095,0.70410451,0.02063955,0.00020640
Nueces,17,49.33857687,0.49338577,0.00342842,0.00003428
Hill,19.1,76.37900783,0.76379008,0.00810810,0.00008108
Hockley,15.7,82.15140442,0.82151404,0.03958490,0.00039585
Hood,12.1,55.53621571,0.55536216,0.00628436,0.00006284
Howard,14.9,33.66963729,0.33669637,0.00188310,0.00001883
Hudspeth,37.9,1.859326205,0.01859326,0.06263754,0.00062638
Hunt,18.9,66.76524779,0.66765248,0.00216684,0.00002167
Irion,11.7,0.611463553,0.00611464,0.00000000,0.00000000
Jack,17.2,56.29458331,0.56294583,0.00079308,0.00000793
Parker,9.4,67.00014733,0.67000147,0.00278728,0.00002787
Pecos,9.7,2.116278364,0.02116278,0.03843337,0.00038433
Polk,18.2,8.528000218,0.08528000,0.00006263,0.00000063
Rains,10.7,49.9079678,0.49907968,0.00093979,0.00000940
Reagan,17.5,7.303163913,0.07303164,0.00200932,0.00002009
Red River,16.5,42.84296686,0.42842967,0.00953622,0.00009536
Refugio,15.8,40.41702461,0.40417025,0.00343991,0.00003440
San Augustine,26.6,8.789129493,0.08789129,0.00000000,0.00000000
San Jacinto,17.2,12.39378432,0.12393784,0.00049807,0.00000498
San Patricio,14.3,65.20871528,0.65208715,0.00795171,0.00007952
San Saba,18,11.78406426,0.11784064,0.41216875,0.00412169
Shelby,22.8,17.56630722,0.17566307,0.00004163,0.00000042
Smith,17,23.8020542,0.23802054,0.00190262,0.00001903
Somervell,17.6,42.99711609,0.42997116,0.00072411,0.00000724
Sutton,9.2,0.13042722,0.00130427,0.00076455,0.00000765
Terrell,24.9,0.074226783,0.00074227,0.00000000,0.00000000
Throckmorton,13.3,75.37480659,0.75374807,0.00330228,0.00003302
Travis,15.2,15.13795619,0.15137956,0.10190296,0.00101903
Trinity,15.5,15.8489216,0.15848922,0.00029202,0.00000292
Tyler,15.7,6.754757205,0.06754757,0.00000000,0.00000000
Van Zandt,15.8,57.21102802,0.57211028,0.00634663,0.00006347
Victoria,14.7,60.12899276,0.60128993,0.00695894,0.00006959
Waller,19,65.20503527,0.65205035,0.04281421,0.00042814
Ward,16.6,1.961119832,0.01961120,0.00058203,0.00000582
Wharton,17.7,84.85052433,0.84850524,0.02978403,0.00029784
Williamson,7.2,53.80412565,0.53804126,0.08928984,0.00089290
Winkler,17.3,9.990552669,0.09990553,0.00033045,0.00000330
Wood,13.3,28.59431831,0.28594318,0.00659303,0.00006593
Zavala,35.8,12.292646,0.12292646,0.10461588,0.00104616
Carson,5.9,82.00673,0.82006730,0.00007521,0.00000075
Castro,16.2,94.39699563,0.94396996,0.01124441,0.00011244
Childress,22.8,25.59664424,0.25596644,0.00038950,0.00000390
Clay,15.4,75.99579451,0.75995795,0.22767765,0.00227678
Coke,17.2,5.09687349,0.05096873,0.00000000,0.00000000
Gregg,18.2,11.18259108,0.11182591,0.00365432,0.00003654
Hamilton,14.8,42.26938663,0.42269387,0.03066133,0.00030661
Hansford,20,91.91556721,0.91915567,0.00135915,0.00001359
Hardeman,15.5,30.67433114,0.30674331,0.16829315,0.00168293
