NAME,crop0809,crop0910,crop1011,crop1112,crop1213,crop1314,crop1415,crop1516,crop1617
Grimes County,0.003338354,-0.014407677,-0.005658425,0.00103779,0.007074657,-8.23643E-06,-0.034684891,-0.009415536,-0.004800102
Hale County,0.000494896,0.024705053,-0.021669964,0.00516719,-0.008211962,-0.000185024,-0.001565962,0.001852663,0.003538631
Hall County,-0.030328494,0.055483602,-0.072719509,0.019596217,-0.011890716,0.012085583,-0.064795696,0.008071789,-0.002509438
Hardin County,-0.003055814,0.043260312,-0.043590942,-0.005213042,0.002913341,0.011685886,-0.032596127,-0.003989632,0.000455681
Harris County,0.00237939,0.030849182,-0.04662987,0.008784448,-0.001496332,-0.001210906,-0.012879908,-0.003228628,-0.000445928
Harrison County,0.020269243,-0.022594575,-0.011875964,0.006106652,0.006639035,0.015774537,-0.047260622,-0.002434996,0.010505354
Hemphill County,0.032084899,0.014287765,-0.018475998,0.022055844,-0.032716905,0.012395936,-0.144754239,0.058463073,-0.001149345
Henderson County,0.002832095,0.002136255,-0.01261783,0.005807463,0.000705001,0.00244112,-0.069481059,0.014785964,-0.013344083
Hopkins County,-0.004595403,0.001044529,0.002768024,-0.005225715,0.003983939,0.0004449,-0.06097456,0.006642382,-0.000338387
Houston County,0.011714533,-0.019519632,-0.013482939,0.005981895,-0.006022923,0.019827621,-0.045916743,-0.002220273,0.005111602
Hutchinson County,0.040703767,0.011318747,-0.030511809,0.002695051,-0.034516139,0.022967143,-0.148513557,0.019215971,0.041158831
Jasper County,0.001669915,0.045102752,-0.042638015,0.004666444,-0.00145813,0.016232217,-0.03660267,0.0028944,-0.004371522
Jeff Davis County,-0.008717393,0.002196534,-0.001022389,0.006350845,0.004967558,0.001716104,-0.065060827,0.008039636,0.000481657
Kenedy County,0.002765403,-0.007471498,0.008293708,-0.002108028,0.003888172,-0.016692782,-0.084359873,0.004566084,0.005932267
Kent County,0.00339403,0.009621358,-0.02866626,0.003814291,-0.000375233,0.102381645,-0.097799954,-0.000791261,-0.007333784
King County,-0.000343177,-0.013744571,0.002912817,-0.005759434,-0.010063221,0.056118149,-0.023585602,-0.008483923,0.005504144
Kleberg County,0.05352886,-0.036686006,0.013010963,0.003150425,-0.001130889,-0.056875628,-0.067826256,-0.003131301,0.010490686
Lamar County,-0.005615119,0.000862489,-0.001062843,-0.000132948,0.003054464,0.00140769,-0.027185174,0.000954101,-0.008138533
Lee County,-0.003716591,-0.037246467,0.013426199,-0.032000933,0.016874266,0.002994316,-0.090800559,-0.011662161,0.019363866
Leon County,0.012248827,-0.029954334,-0.005888222,0.001014224,-0.007497668,0.008484237,-0.07441104,0.021574285,-0.009277865
Lipscomb County,0.014536379,-0.019234984,-0.00235713,-0.003479786,0.01246625,-0.00957351,-0.048147097,-0.000757383,0.013728678
Loving County,-0.00285817,0.001783917,-0.003197597,0.001246277,-0.00131406,-0.000214132,0.000234158,-8.01068E-05,-0.000299887
McMullen County,-0.025343383,-0.037529186,0.020684865,-0.001323538,0.006170403,0.012344411,-0.060765601,-0.003802694,-0.016932036
Madison County,0.004344079,-0.011081593,0.004066046,-0.005722474,-0.002261775,0.007494382,-0.042579473,0.012142972,-0.017110786
Matagorda County,0.00766094,-0.027785831,0.013640783,-0.009102404,0.005176684,0.009502152,-0.019508783,-0.004247027,0.002149373
Menard County,-0.000653569,-0.006942009,0.00215597,0.000823798,-0.004614655,0.002476786,-0.000724049,-0.002977458,-0.002083951
Mills County,0.037466127,-0.001803346,-0.013610142,0.011338232,-0.025982367,0.009623871,-0.12389929,-0.003623377,-0.007843235
Montgomery County,-0.012575655,0.007929646,-0.029958662,0.006087118,-0.007251363,0.014673749,-0.043336833,-0.003701835,0.006464336
