NAME,CroplandDiff2008_2017,SpecialtyCropDiff2008_2017,PovertyDiff2008_2015
Borden County,-0.17081668,-0.0000069,-2.7
Garza County,-0.15846604,0.00000039,-11.9
Llano County,-0.15581068,-0.00009498,3.5
Lampasas County,-0.15198825,-0.00055244,-3.6
Hays County,-0.14615631,0.00005673,-1.6
Shackelford County,-0.14044962,0.00006642,5.8
Eastland County,-0.14002229,0.00069505,-3.5
Caldwell County,-0.13709432,0.00051442,-0.8
Motley County,-0.13584199,-0.0000172,-11.9
Refugio County,-0.13433455,-0.00003313,1.3
Starr County,-0.13336865,-0.00053152,-2.2
Brooks County,-0.12899525,-0.00009169,-0.4
Coryell County,-0.12895457,0.00015126,-0.8
Burnet County,-0.12893404,0.0000473,1.7
Guadalupe County,-0.12581543,0.00002722,0.4
Roberts County,-0.12556071,-0.00000301,-10.9
Lee County,-0.12276806,0.00010467,4.4
Zapata County,-0.119681,-0.00230957,-7.3
Mills County,-0.11833353,0.001351,-1.3
Mitchell County,-0.11726967,-0.00031869,-5.4
Travis County,-0.11718263,0.00089131,0
Erath County,-0.11572258,0.00042025,2.8
Potter County,-0.11435366,-0.000049,0.1
Callahan County,-0.11432187,-0.00002622,6
Comanche County,-0.11014811,0.00248532,0.5
McMullen County,-0.10649676,0.0000033,5.3
Wilbarger County,-0.10515833,0.00345504,-8.9
Goliad County,-0.10375921,-0.00006429,4
Comal County,-0.10326569,-0.00003506,0.2
Brown County,-0.10196818,0.00004031,0
La Salle County,-0.10179473,-0.00032767,-7.9
Blanco County,-0.10032908,-0.00003897,-1.8
Gonzales County,-0.09903053,-0.00006139,-2.7
DeWitt County,-0.09879502,0.00010305,-0.4
Jones County,-0.09493078,0.00399205,3.6
Duval County,-0.09368524,0.00163973,-5.3
Bastrop County,-0.09307532,0.00179189,0.2
Kendall County,-0.09241438,-0.00015251,0.3
Stephens County,-0.09177477,0.00015423,1.2
Oldham County,-0.09163231,-0.00000069,-5.4
Fayette County,-0.09066792,0.0002556,-0.3
Franklin County,-0.08995932,0.00003537,1.6
Jack County,-0.08993897,-0.00000076,-0.1
Hall County,-0.08700666,0.00001384,0.6
Webb County,-0.08676043,-0.00030152,2.2
Kleberg County,-0.08546915,-0.00097885,-2.3
Kenedy County,-0.08518655,-0.00006679,-29.6
Burleson County,-0.08507496,0.00000821,-3.8
Camp County,-0.08466165,0.00002223,-3.4
Milam County,-0.08453866,-0.00072099,-2.2
Titus County,-0.08441413,0.00011266,5
Dimmit County,-0.08432115,-0.00046714,-13.9
Howard County,-0.08417236,-0.00128627,-5.8
Leon County,-0.08370756,0.00000804,-3.3
Collingsworth County,-0.08299174,0.00000302,2.3
Donley County,-0.08272361,0.00024096,0.2
Jim Wells County,-0.08237175,0.00407303,-4.1
Bexar County,-0.08165862,-0.00022104,0.1
Scurry County,-0.0802922,-0.00011372,-7.1
Live Oak County,-0.07932753,-0.0000277,-0.8
Wilson County,-0.07865576,-0.00000473,1.1
Gillespie County,-0.07862033,-0.00059275,3.9
Atascosa County,-0.07841913,0.00015903,-4.2
Wheeler County,-0.07818598,0.00010097,1.1
Freestone County,-0.07802198,-0.00003701,1.2
Baylor County,-0.07751356,0.00041611,-0.6
San Saba County,-0.07729896,-0.00011416,-6.6
Bandera County,-0.0772342,-0.00009062,0.6
Medina County,-0.07630675,-0.00023981,-1.8
Hamilton County,-0.07549169,-0.00043167,1.7
Hutchinson County,-0.075482,-0.00000388,1.1
Hidalgo County,-0.07370375,0.00900766,-3.2
Archer County,-0.07345704,0.00002215,-0.4
Karnes County,-0.07257717,0.00011482,5
Mason County,-0.07257447,-0.00010735,-0.3
Coleman County,-0.07026754,-0.00010603,-12.8
Taylor County,-0.06920318,-0.00000113,0.7
Victoria County,-0.0679709,-0.00007233,-0.5
Morris County,-0.06740552,0.00003358,-1.2
Washington County,-0.06706881,0.00000168,-2.6
Coke County,-0.06704789,-0.00000562,-1.7
Young County,-0.06680104,-0.00002314,1.2
Henderson County,-0.06673507,-0.00001759,1.4
Robertson County,-0.06605513,-0.00000964,-6.2
Smith County,-0.06488223,-0.0001866,1.5
Anderson County,-0.06352971,-0.00004352,0.3
Wood County,-0.06323564,-0.00008541,-1.1
Bee County,-0.06250307,-0.00005289,0.3
Lavaca County,-0.06183581,-0.00102912,-0.4
Montgomery County,-0.0616695,0.00001,0
Crane County,-0.06157989,0,-11.6
Upshur County,-0.06153833,0.00001114,-0.4
Gray County,-0.06004331,-0.00002991,-2.2
Presidio County,-0.05864759,0.00001469,-5
Hemphill County,-0.05780897,-0.00002781,-2.4
Clay County,-0.05758375,0.00211093,6.7
Grimes County,-0.05752407,-0.00005072,5.2
Dickens County,-0.05715593,-0.00009827,-10.2
Andrews County,-0.05691146,0.00000116,-7.7
Frio County,-0.05664471,-0.0003094,0.2
Rusk County,-0.05656888,-0.00000148,3.1
Hopkins County,-0.05625029,-0.00008547,3.6
Red River County,-0.05571358,0.0000878,-0.7
Austin County,-0.05485786,0.00009106,6.2
Willacy County,-0.05461824,0.00022863,-9.7
Aransas County,-0.05433802,-0.00000132,-0.1
Brazos County,-0.05147042,-0.00016222,-3.6
Colorado County,-0.05122307,0.00019165,-1.6
Jeff Davis County,-0.05104828,0.00000844,-5.4
Madison County,-0.05070862,-0.00099445,-4.5
Van Zandt County,-0.04991119,-0.00053562,1.1
Crosby County,-0.04854094,-0.00002582,-4.5
Jackson County,-0.04759002,-0.00004623,3
Walker County,-0.04748715,-0.00002341,1.9
Maverick County,-0.04614985,-0.00623279,-5.5
Williamson County,-0.04605303,0.00070207,1
Bowie County,-0.0453416,0.00010881,1.8
Palo Pinto County,-0.0445477,-0.00004584,3.7
Houston County,-0.04452686,-0.00015568,-3.3
Fort Bend County,-0.04287303,-0.00002119,0.1
Cameron County,-0.04282392,0.00316197,-2.7
Lipscomb County,-0.04281858,0.00001342,-5.1
Hood County,-0.04241543,0.00000398,0
Parker County,-0.042369,-0.00018556,-0.5
San Patricio County,-0.04047419,-0.00038826,-0.5
Armstrong County,-0.04001096,-0.00000342,-1.7
Shelby County,-0.03999949,0.00000042,-2.4
Real County,-0.03961831,-0.00006353,-2
Winkler County,-0.03931982,-0.00013631,-3.1
Somervell County,-0.03892832,-0.00000724,1.7
Rains County,-0.03883895,-0.00076257,-4.2
Uvalde County,-0.03881053,-0.00129554,-7
Cherokee County,-0.03868047,-0.00007753,0.9
Briscoe County,-0.03852441,-0.00000308,-9.8
Kinney County,-0.03780017,-0.00021026,-7.6
Calhoun County,-0.03711221,0.00000774,4.2
Ochiltree County,-0.036925,0,-4.6
Throckmorton County,-0.0368053,0.00002012,-2
Lamar County,-0.03585587,0.00000521,3.3
San Jacinto County,-0.03563518,0.00000498,-3.4
Cass County,-0.03545725,0.00015704,1.1
McCulloch County,-0.03534807,0.000056,-4.9
Waller County,-0.03507343,0.00024293,-0.8
Nacogdoches County,-0.034263,0.00000531,1.8
Jim Hogg County,-0.03400955,-0.0000052,8.1
Polk County,-0.03384106,0.00000063,-4.4
Rockwall County,-0.03382229,0.00000935,1.3
Tarrant County,-0.03333794,-0.00005007,1.3
Runnels County,-0.03216953,-0.00001939,-1.5
Trinity County,-0.03209042,-0.00000389,-4.7
Foard County,-0.03206848,0.00129435,-20.9
Dawson County,-0.03142813,0.00030045,-5.6
Kerr County,-0.03139139,-0.00003766,3.1
Gregg County,-0.0312293,-0.00002016,2.2
Knox County,-0.03093514,0.00051871,-3.5
Zavala County,-0.03075637,-0.00052535,-2.5
Montague County,-0.03050884,-0.00001444,3.2
Ward County,-0.030373,-0.00013013,2.3
Carson County,-0.0302163,-0.00000489,-3.1
Cottle County,-0.03019807,0.00071147,12.4
Hardin County,-0.03013034,-0.0000182,-0.4
Limestone County,-0.03001461,0.00005958,1.9
Tyler County,-0.02967203,0,-4.1
Jefferson County,-0.0294668,-0.00009588,2
Panola County,-0.02858832,0.00001481,0
Reeves County,-0.02828581,-0.0003868,-13.2
Nolan County,-0.02813324,-0.00003992,-1.7
Haskell County,-0.02797609,0.00330022,0.6
Hartley County,-0.02650385,-0.00222265,1.4
Hardeman County,-0.02647014,0.00146652,2.7
Childress County,-0.02614482,-0.0001149,-5.5
Angelina County,-0.02586259,0.0000004,1.7
Delta County,-0.02583198,-0.0000025,6.6
El Paso County,-0.02524124,-0.00044542,-4.1
Bell County,-0.02517587,0.00036703,0.5
Harrison County,-0.02487134,0.00007362,0.8
Liberty County,-0.02427436,-0.00000768,1.5
Harris County,-0.02387855,-0.0000215,0.7
Culberson County,-0.02385666,-0.0001932,-4.7
Marion County,-0.02372293,0.00006531,2.2
Bailey County,-0.02348595,-0.00154496,2.1
Wichita County,-0.0228633,0.00033371,3.8
Matagorda County,-0.02251411,0.00003642,-0.2
Collin County,-0.02174748,0.00001216,0.7
Nueces County,-0.02047153,-0.00036908,-2.7
Denton County,-0.02036687,-0.00000109,0.6
Dallas County,-0.0198713,-0.00003213,1.4
Wise County,-0.01977454,-0.00025085,3.7
Sterling County,-0.0197354,-0.00000263,-2.3
Moore County,-0.0188274,0.00013218,5.1
Orange County,-0.01845546,-0.00001099,0.3
Yoakum County,-0.01822057,0.00320325,-9
Gaines County,-0.01695652,-0.00001295,-5.4
Kent County,-0.01575517,-0.0002286,2.9
Kaufman County,-0.01469158,0.00000258,1.7
San Augustine County,-0.01456739,0,0.1
Jasper County,-0.01450461,-0.00000394,-2.3
Galveston County,-0.01410991,-0.00001909,0.6
Hunt County,-0.01400569,0.00001024,0.8
Chambers County,-0.01385567,-0.00001835,0.7
Ector County,-0.01369577,-0.00005009,-4.5
Bosque County,-0.0129771,0.0002402,-2.9
Menard County,-0.01253914,-0.00092932,-7
Martin County,-0.01233407,-0.00012447,2.7
Kimble County,-0.01214272,-0.0001833,4.9
Lynn County,-0.01179792,0.00070978,3.5
Hansford County,-0.01171171,0.00001095,4.4
Johnson County,-0.01154705,0.00000615,1
Hudspeth County,-0.01146804,-0.00073697,-0.6
Concho County,-0.01119172,0.00016261,-7.6
Newton County,-0.01073654,0,2.2
Brazoria County,-0.00988629,-0.00027089,-0.1
Randall County,-0.00968231,-0.00003692,1.1
Ellis County,-0.00821496,-0.00001826,-0.3
Sabine County,-0.00805502,0,7.2
Sherman County,-0.00733752,0.00013889,-4
Navarro County,-0.00732976,-0.00002016,-0.1
Lubbock County,-0.00658911,0.00096489,0.4
Deaf Smith County,-0.00557422,-0.00002481,-0.6
Cochran County,-0.0048477,-0.00038952,-9.5
Fisher County,-0.00478838,0.00005857,4.5
Floyd County,-0.00474784,-0.00005987,-0.7
Loving County,-0.0046996,-0.0000303,16.4
Cooke County,-0.00436666,0.00013885,1.4
Brewster County,-0.00385172,-0.00000544,-6.4
Fannin County,-0.00306482,0.00047279,1.1
Grayson County,-0.00301579,-0.0000472,2.3
Terry County,-0.00211902,0.00236201,-8.2
Val Verde County,-0.00165111,-0.00000032,-2.5
Edwards County,-0.00154431,0.00000426,-13.7
Falls County,-0.00148904,-0.00012618,1.2
Dallam County,-0.00103237,0.0008246,3.7
McLennan County,-0.00067123,-0.00001049,-0.8
Stonewall County,0.0000166,0.00015897,4.3
Crockett County,0.0000267,-0.00000087,6.8
Midland County,0.00013098,-0.00000809,-4.9
Sutton County,0.00021837,-0.00000693,-3.5
Terrell County,0.00068288,-0.00000634,10.7
Irion County,0.00138814,-0.00000033,8.1
Castro County,0.00158426,-0.00006994,-5.6
Hill County,0.00179048,0.00006028,2.8
Parmer County,0.00213758,-0.0000106,-2.2
King County,0.00255518,0.00001065,3.3
Swisher County,0.00328514,0.00014352,5
Hale County,0.00412552,-0.00009787,2.7
Pecos County,0.00595856,-0.00030171,-7.3
Lamb County,0.00650688,0.00392694,3.3
Schleicher County,0.00988366,0.00004666,-3.5
Upton County,0.01155524,0.00002631,0.8
Hockley County,0.01282589,0.00011703,-0.8
Reagan County,0.02108662,-0.00000561,9.2
Wharton County,0.02965004,-0.00036579,1
Tom Green County,0.03048636,-0.00005368,-2.5
Glasscock County,0.06327732,-0.00171146,-6.3
