NAME,sc0809,sc0910,sc1011,sc1112,sc1213,sc1314,sc1415,sc1516,sc1617
Grimes County,-0.00003685,-0.00006546,0.00006459,0.00002167,-0.00008973,-0.00000260,0.00003165,-20.29997616,0.00003598
Hale County,-0.00018191,0.00012381,-0.00008335,-0.00002767,-0.00000311,0.00012969,0.00012692,-20.69999066,0.00008923
Hall County,-0.00002844,-0.00000653,0.00001345,-0.00000961,-0.00000538,0.00000192,0.00009455,-28.69999616,0.00004689
Hardin County,0.00003601,-0.00002013,0.00008517,-0.00010260,-0.00001471,0.00002865,-0.00002323,-11.79999148,-0.00000852
Harris County,0.00002874,-0.00003167,-0.00003363,0.00007507,-0.00005963,0.00003851,0.00007839,-17.39998612,0.00000723
Harrison County,0.00002694,-0.00002694,0.00000266,-0.00000266,0.00000228,-0.00000228,0.00000000,-17.70000000,0.00007362
Hemphill County,-0.00002705,-0.00000152,-0.00000038,-0.00000267,0.00000000,0.00001029,-0.00000800,-11.79999352,-0.00000267
Henderson County,-0.00000403,-0.00002968,0.00005350,-0.00004397,0.00000256,-0.00000879,0.00014767,-18.79999597,0.00001246
Hopkins County,-0.00006224,-0.00002455,0.00001753,-0.00001929,0.00000920,0.00001929,-0.00002586,-19.50000000,0.00000438
Houston County,-0.00029928,0.00008880,0.00027005,-0.00029253,-0.00006997,0.00032991,-0.00025516,-24.39968499,-0.00013011
Hutchinson County,0.00000505,0.00000893,-0.00001592,-0.00000311,0.00000000,0.00003456,-0.00003378,-16.49999651,-0.00000233
Jasper County,0.00007167,-0.00003870,-0.00003691,0.00000215,0.00000036,-0.00000143,-0.00000108,-16.29999928,-0.00000072
Jeff Davis County,0.00002348,-0.00002378,0.00000184,-0.00000031,0.00000123,-0.00000077,0.00000031,-7.99999509,0.00000384
Kenedy County,0.00002786,-0.00014394,-0.00000929,0.00016001,-0.00014591,0.00006072,0.00002214,-22.79992071,-0.00001714
Kent County,-0.00022783,0.00000154,-0.00000115,0.00000038,0.00000308,-0.00000231,0.00001462,-11.69999500,-0.00000462
King County,0.00000000,0.00000152,-0.00000114,0.00002625,-0.00002625,0.00000038,0.00000685,-3.29999658,0.00000761
Kleberg County,0.00064449,-0.00172247,-0.00010391,0.00027157,-0.00018742,-0.00006024,0.00310612,-23.79951233,-0.00025754
Lamar County,0.00006331,-0.00004618,-0.00000670,0.00000521,0.00067592,-0.00066512,0.00000596,-19.89999926,0.00000894
Lee County,0.00000877,0.00001754,0.00143469,-0.00143414,0.00005042,0.00022194,-0.00016934,-14.79979450,-0.00006192
Leon County,0.00004824,-0.00004566,0.00004888,-0.00006045,-0.00001769,0.00009197,-0.00007396,-15.99996527,0.00000257
Lipscomb County,0.00003541,-0.00004286,-0.00000186,-0.00000373,0.00000000,0.00000186,-0.00000112,-10.39993701,-0.00003653
Loving County,-0.00002619,-0.00000411,0.00000976,-0.00000976,0.00000000,0.00000000,0.00000154,-16.40000000,0.00000000
McMullen County,0.00000210,0.00001983,0.00002163,-0.00004266,0.00001352,0.00003274,-0.00004656,-8.79999730,0.00000150
Madison County,-0.00133426,0.00013755,-0.00002795,0.00040381,-0.00051340,0.00058107,-0.00052591,-16.49847303,-0.00115553
Matagorda County,0.00007348,-0.00011314,0.00000711,0.00068356,-0.00066761,-0.00000754,0.00015839,-21.69982480,-0.00009310
Menard County,-0.00121317,0.00002311,0.00047679,0.00019449,-0.00049258,0.00084151,-0.00053264,-13.39920316,-0.00043250
Mills County,0.00146131,0.00339535,-0.00483488,-0.00070354,0.00143860,0.00076379,-0.00029569,-14.49670429,0.00025769
Montgomery County,0.00003969,-0.00004679,0.00000290,0.00001194,-0.00001484,0.00000355,0.00001420,-10.99998387,0.00000097
Moore County,0.00001490,0.00005807,-0.00006724,-0.00002560,0.00006380,0.00009474,0.00030867,-17.79993276,0.00008481
Morris County,0.00001075,-0.00001343,0.00000000,0.00000000,0.00000000,0.00000403,-0.00000403,-18.60000000,0.00003627
Nacogdoches County,0.00005064,-0.00005064,0.00000000,0.00001204,0.00002621,-0.00003825,0.00000071,-24.40000000,0.00000531
Navarro County,-0.00007392,-0.00012096,0.00077726,-0.00035423,-0.00027551,0.00011904,-0.00012288,-19.89979392,0.00000032
Nueces County,0.00702200,-0.00622482,-0.00097248,0.00013475,-0.00031691,0.00023224,0.00132009,-16.99934055,-0.00062517
Hill County,0.00081398,-0.00081892,0.00078085,-0.00062609,0.00019001,-0.00023619,-0.00008496,-19.09993690,0.00001798
Hockley County,-0.00020424,-0.00006005,-0.00000497,0.00003442,0.00014878,-0.00018282,0.00031897,-15.69997285,0.00036869
Hood County,-0.00002148,0.00003500,-0.00001909,0.00007955,-0.00005012,0.00003659,-0.00006603,-12.09995307,0.00001591
Howard County,-0.00116676,-0.00011183,-0.00000500,0.00006034,-0.00006034,0.00003766,-0.00004381,-14.89996119,-0.00001998
Hudspeth County,0.00103370,-0.00111373,0.00032181,-0.00131455,0.00037092,0.00006065,-0.00027104,-37.89894358,-0.00043005
Hunt County,0.00005437,-0.00006461,0.00007249,0.00002324,-0.00005200,-0.00003585,0.00004609,-18.89841426,-0.00156407
Irion County,0.00001388,-0.00001322,0.00007137,0.00007963,-0.00014903,0.00014671,-0.00013184,-11.69998943,-0.00001057
Jack County,0.00022811,-0.00015899,0.00003286,-0.00008913,-0.00001964,0.00008120,-0.00007742,-17.19999131,-0.00000076
